[Peptides-struct] task=regression level=graph metric=mae (higher_is_better=False)
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 102 | 113.2s | train loss 0.2429 MAE 0.2428 | val loss 0.2552 MAE 0.2551 | test loss 0.2625 MAE 0.2623 | best val 0.2462 (epoch 101, test 0.2497889591375208)
epoch 103 | 113.3s | train loss 0.2410 MAE 0.2411 | val loss 0.2661 MAE 0.2660 | test loss 0.2724 MAE 0.2723 | best val 0.2462 (epoch 101, test 0.2497889591375208)
epoch 104 | 112.7s | train loss 0.2428 MAE 0.2427 | val loss 0.2484 MAE 0.2482 | test loss 0.2526 MAE 0.2525 | best val 0.2462 (epoch 101, test 0.2497889591375208)
epoch 105 | 112.9s | train loss 0.2418 MAE 0.2418 | val loss 0.2463 MAE 0.2462 | test loss 0.2516 MAE 0.2515 | best val 0.2462 (epoch 105, test 0.25151819235613504)
epoch 106 |  91.4s | train loss 0.2409 MAE 0.2409 | val loss 0.2475 MAE 0.2474 | test loss 0.2510 MAE 0.2509 | best val 0.2462 (epoch 105, test 0.25151819235613504)
epoch 107 |  92.3s | train loss 0.2403 MAE 0.2403 | val loss 0.2415 MAE 0.2414 | test loss 0.2490 MAE 0.2489 | best val 0.2414 (epoch 107, test 0.24887995761158607)
epoch 108 |  92.1s | train loss 0.2408 MAE 0.2408 | val loss 0.2600 MAE 0.2599 | test loss 0.2674 MAE 0.2673 | best val 0.2414 (epoch 107, test 0.24887995761158607)
epoch 109 |  90.5s | train loss 0.2405 MAE 0.2405 | val loss 0.2476 MAE 0.2475 | test loss 0.2510 MAE 0.2508 | best val 0.2414 (epoch 107, test 0.24887995761158607)
epoch 110 |  92.5s | train loss 0.2411 MAE 0.2411 | val loss 0.2454 MAE 0.2453 | test loss 0.2531 MAE 0.2529 | best val 0.2414 (epoch 107, test 0.24887995761158607)
epoch 111 |  92.3s | train loss 0.2387 MAE 0.2386 | val loss 0.2434 MAE 0.2433 | test loss 0.2491 MAE 0.2490 | best val 0.2414 (epoch 107, test 0.24887995761158607)
epoch 112 |  92.8s | train loss 0.2371 MAE 0.2371 | val loss 0.2735 MAE 0.2735 | test loss 0.2885 MAE 0.2884 | best val 0.2414 (epoch 107, test 0.24887995761158607)
epoch 113 |  95.6s | train loss 0.2382 MAE 0.2382 | val loss 0.2473 MAE 0.2472 | test loss 0.2542 MAE 0.2541 | best val 0.2414 (epoch 107, test 0.24887995761158607)
epoch 114 |  98.4s | train loss 0.2381 MAE 0.2381 | val loss 0.2480 MAE 0.2479 | test loss 0.2517 MAE 0.2516 | best val 0.2414 (epoch 107, test 0.24887995761158607)
epoch 115 |  89.4s | train loss 0.2362 MAE 0.2362 | val loss 0.2491 MAE 0.2489 | test loss 0.2513 MAE 0.2512 | best val 0.2414 (epoch 107, test 0.24887995761158607)
epoch 116 | 104.2s | train loss 0.2368 MAE 0.2368 | val loss 0.2532 MAE 0.2530 | test loss 0.2595 MAE 0.2593 | best val 0.2414 (epoch 107, test 0.24887995761158607)
epoch 117 | 119.0s | train loss 0.2361 MAE 0.2361 | val loss 0.2495 MAE 0.2494 | test loss 0.2565 MAE 0.2564 | best val 0.2414 (epoch 107, test 0.24887995761158607)
epoch 118 | 115.9s | train loss 0.2351 MAE 0.2351 | val loss 0.2431 MAE 0.2430 | test loss 0.2481 MAE 0.2480 | best val 0.2414 (epoch 107, test 0.24887995761158607)
epoch 119 | 117.2s | train loss 0.2339 MAE 0.2339 | val loss 0.2470 MAE 0.2469 | test loss 0.2530 MAE 0.2529 | best val 0.2414 (epoch 107, test 0.24887995761158607)
epoch 120 | 112.3s | train loss 0.2349 MAE 0.2349 | val loss 0.2545 MAE 0.2544 | test loss 0.2599 MAE 0.2597 | best val 0.2414 (epoch 107, test 0.24887995761158607)
epoch 121 | 110.7s | train loss 0.2343 MAE 0.2343 | val loss 0.2503 MAE 0.2501 | test loss 0.2547 MAE 0.2546 | best val 0.2414 (epoch 107, test 0.24887995761158607)
